Country,Year,Total GHG Emissions Including Land-Use Change and Forestry (MtCO_e_),GDP-USD (Million US$ (2005)),Population (People),GHG per Capita,GDP per Capita
Vanuatu,2001,0.54,364,181346,3.00,2007.21
Venezuela,2001,344.36,132633,23945002,14.38,5539.07
Vietnam,2001,114.44,43846,76596700,1.49,572.43
World,2001,37366.04,41509856,6023027888,6.20,6891.86
Yemen,2001,21.97,14152,17035531,1.29,830.73
Zambia,2001,108.96,6495,9839179,11.07,660.12
Zimbabwe,2001,68.25,8569,12384727,5.51,691.90
Afghanistan,2002,17.24,5150,20595360,0.84,250.06
Albania,2002,8.43,7093,3089027,2.73,2296.19
Algeria,2002,125.02,87156,31719449,3.94,2747.71
Angola,2002,129.20,20458,13924930,9.28,1469.16
Antigua & Barbuda,2002,0.66,843,77648,8.47,10856.69
Argentina,2002,338.94,172023,36903067,9.18,4661.48
Armenia,2002,6.28,3416,3076098,2.04,1110.50
Australia,2002,644.47,625660,19153000,33.65,32666.42
Austria,2002,65.39,297681,8011566,8.16,37156.41
Azerbaijan,2002,56.76,8551,8048600,7.05,1062.42
"Bahamas, The",2002,1.08,7483,297759,3.63,25131.06
Bahrain,2002,23.01,13186,668239,34.44,19732.46
Bangladesh,2002,150.13,50860,132383265,1.13,384.19
Barbados,2002,3.17,3618,267190,11.85,13540.93
Belarus,2002,70.07,23147,10005000,7.00,2313.54
Belgium,2002,133.45,363905,10251250,13.02,35498.60
Belize,2002,12.41,949,238586,52.01,3977.60
Benin,2002,19.14,3955,6949366,2.75,569.12
Bhutan,2002,-7.06,670,564350,-12.50,1187.21
Bolivia,2002,109.23,8547,8495271,12.86,1006.09
Bosnia & Herzegovina,2002,20.31,9411,3834364,5.30,2454.38
Botswana,2002,31.39,8839,1755375,17.88,5035.39
Brazil,2002,1972.63,799797,174504898,11.30,4583.24
Brunei,2002,17.67,9180,331801,53.25,27667.19
Bulgaria,2002,44.12,24632,8170172,5.40,3014.87
Burkina Faso,2002,27.63,4464,11607944,2.38,384.56
Burundi,2002,6.51,1069,6674286,0.98,160.17
Cambodia,2002,50.20,4641,12222871,4.11,379.70
Cameroon,2002,192.49,15031,15927713,12.08,943.70
Canada,2002,984.46,1073474,30769700,31.99,34887.37
Cape Verde,2002,0.33,792,442426,0.75,1790.13
Central African Republic,2002,54.77,1334,3638316,15.05,366.65
Chad,2002,40.20,3695,8301151,4.84,445.12
Chile,2002,64.32,106908,15454402,4.16,6917.64
China,2002,4834.86,1674007,1262645000,3.83,1325.79
Colombia,2002,181.33,127840,39897984,4.54,3204.17
Comoros,2002,0.63,355,528312,1.19,671.95
"Congo, Dem. Rep.",2002,194.86,10003,46949244,4.15,213.06
"Congo, Rep.",2002,15.26,5415,3126204,4.88,1732.13
Cook Islands,2002,0.08,126,20811,3.87,6054.49
Costa Rica,2002,2.51,16996,3929588,0.64,4325.14
Cote d'Ivoire,2002,16.47,16838,16131332,1.02,1043.81
Croatia,2002,15.54,39685,4426000,3.51,8966.34
Cuba,2002,18.28,34932,11138416,1.64,3136.17
Cyprus,2002,7.66,15397,943287,8.12,16322.71
Czech Republic,2002,125.60,117504,10255063,12.25,11458.15
Denmark,2002,61.11,250647,5339616,11.44,46941.02
Djibouti,2002,1.15,641,722887,1.58,886.72
Dominica,2002,0.22,333,69679,3.12,4779.06
Dominican Republic,2002,27.98,30765,8663421,3.23,3551.14
Ecuador,2002,123.41,35464,12533087,9.85,2829.63
Egypt,2002,190.22,79920,66136590,2.88,1208.41
El Salvador,2002,12.73,15841,5958794,2.14,2658.42
Equatorial Guinea,2002,18.03,4476,518179,34.79,8637.94
Eritrea,2002,6.96,1084,3939348,1.77,275.17
Estonia,2002,25.52,11177,1396985,18.27,8000.80
Ethiopia,2002,112.26,9981,66024199,1.70,151.17
European Union (15),2002,3762.38,12695741,378245520,9.95,33564.82
European Union (28),2002,4575.44,13440293,483549692,9.46,27795.06
Fiji,2002,1.41,2807,811647,1.73,3458.40
Finland,2002,63.20,187646,5176209,12.21,36251.63
France,2002,432.75,2092813,60911057,7.10,34358.51
Gabon,2002,5.98,8099,1225527,4.88,6608.59
"Gambia, The",2002,5.07,551,1228863,4.12,448.38
Georgia,2002,7.82,4976,4418300,1.77,1126.23
Germany,2002,926.32,2824751,82211508,11.27,34359.56
Ghana,2002,51.15,9122,18825034,2.72,484.57
Greece,2002,116.80,219336,10917482,10.70,20090.35
Grenada,2002,2.15,564,101620,21.14,5550.09
Guatemala,2002,35.55,24916,11204183,3.17,2223.81
Guinea,2002,25.40,2752,8746128,2.90,314.65
Guinea-Bissau,2002,2.98,545,1273312,2.34,428.02
Guyana,2002,6.76,823,744471,9.08,1105.48
Haiti,2002,7.22,4214,8578234,0.84,491.24
Honduras,2002,43.78,8212,6235561,7.02,1316.96
Hungary,2002,77.11,98685,10210971,7.55,9664.60
Iceland,2002,3.03,14256,281205,10.77,50696.11
India,2002,1668.89,655756,1042261758,1.60,629.17
Indonesia,2002,1584.98,245768,208938698,7.59,1176.27
Iran,2002,481.25,163050,65911052,7.30,2473.79
Iraq,2002,180.40,46397,23801156,7.58,1949.36
Ireland,2002,68.41,184880,3805174,17.98,48586.48
Israel,2002,74.55,127458,6289000,11.85,20266.82
Italy,2002,508.35,1804661,56942108,8.93,31692.91
Jamaica,2002,12.70,9694,2589389,4.90,3743.74
Japan,2002,1228.66,4335924,126843000,9.69,34183.39
Jordan,2002,21.26,10292,4797000,4.43,2145.51
Kazakhstan,2002,171.80,43469,14883626,11.54,2920.59
Kenya,2002,47.03,16354,31285050,1.50,522.74
Kiribati,2002,0.06,99,82788,0.72,1195.83
"Korea, Dem. Rep. (North)",2002,105.40,10910,22840225,4.61,477.67
"Korea, Rep. (South)",2002,499.39,800380,47008111,10.62,17026.42
Kuwait,2002,152.09,56486,1906231,79.79,29632.30
Kyrgyzstan,2002,6.90,2151,4898400,1.41,439.12
Laos,2002,29.35,2264,5388281,5.45,420.17
Latvia,2002,9.67,12450,2367550,4.08,5258.60
Lebanon,2002,19.19,18680,3235380,5.93,5773.66
Lesotho,2002,1.92,1244,1856225,1.03,670.18
Liberia,2002,16.28,777,2891968,5.63,268.68
Libya,2002,111.00,33937,5176185,21.44,6556.37
Lithuania,2002,22.88,20445,3499536,6.54,5842.20
Luxembourg,2002,10.60,33489,436300,24.29,76756.82
"Macedonia, FYR",2002,12.37,5332,2052129,6.03,2598.28
Madagascar,2002,44.29,4169,15744811,2.81,264.79
Malawi,2002,13.15,2422,11321496,1.16,213.93
Malaysia,2002,389.20,120628,23420751,16.62,5150.48
Maldives,2002,0.76,846,272745,2.77,3101.80
Mali,2002,27.97,4555,10260577,2.73,443.93
Malta,2002,2.68,5791,381363,7.03,15185.01
Mauritania,2002,9.59,1586,2708095,3.54,585.65
Mauritius,2002,4.27,5662,1186873,3.60,4770.52
Mexico,2002,622.05,794906,103873607,5.99,7652.63
Moldova,2002,10.42,2428,3639592,2.86,667.11
Mongolia,2002,49.28,1988,2397473,20.56,829.21
Montenegro,2002,3.90,2024,611196,6.38,3311.54
Morocco,2002,46.93,51877,28710123,1.63,1806.92
Mozambique,2002,55.66,5249,18275618,3.05,287.21
Myanmar,2002,153.80,7652,48453000,3.17,157.93
Namibia,2002,16.93,6052,1897953,8.92,3188.70
Nauru,2002,0.10,19,10112,9.50,1878.96
Nepal,2002,59.32,7221,23184177,2.56,311.46
Netherlands,2002,221.02,643845,15925513,13.88,40428.52
New Zealand,2002,58.06,102274,3857700,15.05,26511.65
Nicaragua,2002,41.22,5616,5100920,8.08,1100.98
Niger,2002,19.97,3091,10989815,1.82,281.26
Nigeria,2002,437.92,73525,122876727,3.56,598.36
Niue,2002,0.07,10.06,1791,36.80,5616.97
Norway,2002,24.13,282325,4490967,5.37,62865.08
Oman,2002,66.28,30761,2192535,30.23,14029.88
Pakistan,2002,254.63,90346,143832014,1.77,628.14
Palau,2002,0.00,189,19174,0.19,9857.10
Panama,2002,16.97,12876,3054812,5.56,4214.99
Papua New Guinea,2002,101.50,4363,5379226,18.87,811.08
Paraguay,2002,101.39,7878,5350253,18.95,1472.45
Peru,2002,105.74,64512,26000080,4.07,2481.22
Philippines,2002,131.40,87826,77651848,1.69,1131.02
Poland,2002,306.06,270005,38258629,8.00,7057.36
Portugal,2002,84.44,194128,10289898,8.21,18865.88
Qatar,2002,33.49,33502,593693,56.41,56429.84
Romania,2002,132.67,82871,22442971,5.91,3692.51
Russian Federation,2002,2139.54,624553,146596870,14.59,4260.34
Rwanda,2002,-4.23,2225,8395577,-0.50,265.02
Saint Kitts & Nevis,2002,0.26,488,45544,5.63,10714.91
Saint Lucia,2002,0.93,840,156949,5.91,5352.06
Saint Vincent & Grenadines,2002,0.20,479,107897,1.87,4439.42
Samoa,2002,0.41,406,174614,2.34,2325.13
Sao Tome & Principe,2002,0.12,109,139428,0.86,781.77
Saudi Arabia,2002,303.98,260358,20144584,15.09,12924.47
Senegal,2002,25.95,7299,9861679,2.63,740.14
Serbia,2002,47.32,21846,7516346,6.30,2906.47
Seychelles,2002,0.60,920,81131,7.41,11339.69
Sierra Leone,2002,9.70,1340,4139757,2.34,323.69
Singapore,2002,49.04,103612,4027900,12.18,25723.58
Slovakia,2002,38.16,53030,5388720,7.08,9840.93
Slovenia,2002,5.38,32563,1988925,2.71,16372.16
Solomon Islands,2002,2.06,351,412336,5.00,851.25
South Africa,2002,369.85,227477,44000000,8.41,5169.93
Spain,2002,389.68,1048055,40263216,9.68,26030.09
Sri Lanka,2002,40.61,20564,19102000,2.13,1076.54
Sudan,2002,153.70,22049,27729798,5.54,795.14
Suriname,2002,5.43,1481,466668,11.64,3173.56
Swaziland,2002,2.80,2397,1063715,2.63,2253.42
Sweden,2002,46.12,354256,8872109,5.20,39929.18
Switzerland,2002,49.13,384401,7184250,6.84,53506.07
Syria,2002,76.22,25269,16371208,4.66,1543.50
Tajikistan,2002,6.04,1770,6186152,0.98,286.12
Tanzania,2002,154.92,11428,34020512,4.55,335.91
Thailand,2002,278.72,147967,62343379,4.47,2373.42
Togo,2002,13.18,1950,4864753,2.71,400.84
Tonga,2002,0.27,251,97962,2.73,2562.22
Trinidad & Tobago,2002,27.72,12320,1267980,21.86,9716.24
Tunisia,2002,28.46,27939,9552500,2.98,2924.78
Turkey,2002,262.27,387025,63174483,4.15,6126.29
Turkmenistan,2002,71.45,6612,4501419,15.87,1468.87
Uganda,2002,37.15,7454,24275641,1.53,307.06
Ukraine,2002,385.55,68395,49175848,7.84,1390.83
United Arab Emirates,2002,127.38,144498,3026352,42.09,47746.59
United Kingdom,2002,634.75,2195649,58892514,10.78,37282.31
United States,2002,6311.58,11874004,282162411,22.37,42082.16
Uruguay,2002,19.94,15265,3320841,6.00,4596.73
Uzbekistan,2002,215.54,11915,24650400,8.74,483.36
Vanuatu,2002,0.55,346,185058,2.96,1869.68
Venezuela,2002,339.62,120887,24407553,13.91,4952.85
Vietnam,2002,130.49,46617,77630900,1.68,600.50
World,2002,38123.23,42364291,6101963950,6.25,6942.73
Yemen,2002,22.12,14709,17522537,1.26,839.43
Zambia,2002,107.35,6788,10100981,10.63,672.01
Zimbabwe,2002,64.77,7807,12503652,5.18,624.38
Afghanistan,2003,18.01,5585,21347782,0.84,261.62
Albania,2003,8.95,7497,3060173,2.93,2449.86
Algeria,2003,129.96,93432,32150198,4.04,2906.11
Angola,2003,140.90,21531,14385283,9.80,1496.74
Antigua & Barbuda,2003,0.71,893,78972,8.96,11307.81
Argentina,2003,361.09,187225,37273361,9.69,5023.02
Armenia,2003,6.69,3896,3059960,2.19,1273.22
Australia,2003,597.59,644926,19413000,30.78,33221.35
Austria,2003,71.06,299931,8042293,8.84,37294.21
Azerbaijan,2003,53.44,9509,8111200,6.59,1172.33
"Bahamas, The",2003,0.99,7388,303005,3.27,24382.44
Bahrain,2003,23.64,13981,698749,33.84,20008.62
Bangladesh,2003,152.15,53533,134729503,1.13,397.34
Barbados,2003,3.21,3689,268296,11.98,13749.74
Belarus,2003,68.87,24777,9928000,6.94,2495.67
Belgium,2003,140.14,367143,10286570,13.62,35691.49
Belize,2003,12.98,1038,245198,52.96,4233.31
Benin,2003,18.85,4108,7174911,2.63,572.55
Bhutan,2003,-7.11,722,580888,-12.24,1242.92
Bolivia,2003,111.02,8779,8669066,12.81,1012.68
Bosnia & Herzegovina,2003,20.94,9788,3879353,5.40,2523.10
Botswana,2003,20.01,9248,1783349,11.22,5185.75
Brazil,2003,1987.26,808969,176968205,11.23,4571.27
Brunei,2003,18.65,9447,339114,54.99,27857.89
Bulgaria,2003,48.39,25951,8020282,6.03,3235.67
Burkina Faso,2003,30.18,4812,11946080,2.53,402.81
Burundi,2003,6.43,1056,6839376,0.94,154.40
Cambodia,2003,51.33,5036,12472586,4.12,403.77
Cameroon,2003,194.07,15637,16350440,11.87,956.37
Canada,2003,1002.78,1094141,31081900,32.26,35201.87
Cape Verde,2003,0.34,825,450812,0.76,1830.03
Central African Republic,2003,61.36,1262,3704045,16.56,340.71
Chad,2003,42.29,4239,8620917,4.91,491.71
Chile,2003,66.32,111138,15639289,4.24,7106.33
China,2003,5520.38,1841833,1271850000,4.34,1448.15
Colombia,2003,183.34,132849,40558648,4.52,3275.48
Comoros,2003,0.63,363,541976,1.16,669.77
"Congo, Dem. Rep.",2003,198.46,10561,48167045,4.12,219.26
"Congo, Rep.",2003,15.97,5459,3205636,4.98,1702.94
Cook Islands,2003,0.08,145,21008,3.77,6902.13
Costa Rica,2003,2.94,18085,4171145,0.70,4335.74
Cote d'Ivoire,2003,15.42,16576,16909801,0.91,980.26
Croatia,2003,17.07,41891,4440000,3.84,9434.91
Cuba,2003,17.29,36256,11245926,1.54,3223.92
Cyprus,2003,8.48,15695,998142,8.49,15724.22
Czech Republic,2003,129.39,121737,10193998,12.69,11942.03
Denmark,2003,66.26,251625,5390574,12.29,46678.70
Djibouti,2003,1.17,662,755085,1.55,876.72
Dominica,2003,0.23,359,70058,3.28,5124.33
Dominican Republic,2003,26.69,30687,9071318,2.94,3382.86
Ecuador,2003,123.46,36430,13279806,9.30,2743.26
Egypt,2003,197.83,82472,69432477,2.85,1187.80
El Salvador,2003,13.10,16206,6029366,2.17,2687.84
Equatorial Guinea,2003,21.63,5100,568552,38.04,8970.16
Eritrea,2003,7.06,1056,4472533,1.58,236.11
Estonia,2003,27.46,12013,1370720,20.03,8764.01
Ethiopia,2003,111.14,9765,71989666,1.54,135.64
European Union (15),2003,3826.97,12862107,384135046,9.96,33483.29
European Union (28),2003,4674.06,13637757,487900768,9.58,27951.91
Fiji,2003,1.38,2836,817224,1.69,3470.28
Finland,2003,70.97,191388,5213014,13.61,36713.50
France,2003,437.58,2109964,62242474,7.03,33899.10
Gabon,2003,6.09,8300,1315820,4.63,6307.85
"Gambia, The",2003,5.19,589,1348548,3.85,436.77
Georgia,2003,7.85,5526,4328900,1.81,1276.54
Germany,2003,924.72,2804399,82534176,11.20,33978.64
Ghana,2003,51.98,9597,20301686,2.56,472.72
Greece,2003,120.48,233895,11018324,10.93,21227.82
Grenada,2003,2.17,618,102369,21.19,6036.98
Guatemala,2003,38.50,25547,12062835,3.19,2117.83
Guinea,2003,25.04,2786,9204581,2.72,302.68
Guinea-Bissau,2003,3.07,548,1360559,2.26,402.78
Guyana,2003,7.98,815,753612,10.59,1081.46
Haiti,2003,7.19,4230,8996229,0.80,470.20
Honduras,2003,46.41,8585,6628171,7.00,1295.23
Hungary,2003,79.46,102414,10129552,7.84,10110.42
Iceland,2003,3.00,14642,289521,10.37,50573.19
India,2003,1720.32,707301,1093786762,1.57,646.65
Indonesia,2003,1570.94,257516,218145617,7.20,1180.48
Iran,2003,506.11,174650,68543171,7.38,2548.03
Iraq,2003,169.93,31039,25959531,6.55,1195.67
Ireland,2003,67.25,190348,3996521,16.83,47628.42
Israel,2003,76.52,128830,6689700,11.44,19257.96
Italy,2003,524.49,1807415,57313203,9.15,31535.75
Jamaica,2003,13.09,9399,2624695,4.99,3580.99
Japan,2003,1232.46,4408990,127718000,9.65,34521.29
Jordan,2003,20.93,10721,5164000,4.05,2076.10
Kazakhstan,2003,182.40,47512,14909018,12.23,3186.80
Kenya,2003,48.15,16834,33905011,1.42,496.50
Kiribati,2003,0.06,103,87371,0.68,1178.88
"Korea, Dem. Rep. (North)",2003,107.58,11051,23449180,4.59,471.27
"Korea, Rep. (South)",2003,506.83,823857,47859311,10.59,17214.14
Kuwait,2003,160.17,66270,2116353,75.68,31313.30
Kyrgyzstan,2003,7.68,2302,5043300,1.52,456.45
Laos,2003,28.79,2401,5619069,5.12,427.29
Latvia,2003,9.82,13346,2287955,4.29,5833.16
Lebanon,2003,19.60,19285,3690110,5.31,5226.13
Lesotho,2003,2.11,1302,1898757,1.11,685.71
Liberia,2003,16.35,522,3124222,5.23,167.08
Libya,2003,113.69,38349,5422612,20.97,7072.05
Lithuania,2003,23.34,22540,3415213,6.83,6599.88
Luxembourg,2003,10.98,33888,451630,24.32,75034.87
"Macedonia, FYR",2003,13.21,5482,2080866,6.35,2634.48
Madagascar,2003,47.13,4577,17245275,2.73,265.41
Malawi,2003,13.83,2555,12238739,1.13,208.76
Malaysia,2003,397.21,127611,24890654,15.96,5126.86
Maldives,2003,0.67,966,287594,2.32,3358.90
Mali,2003,27.60,4894,11219737,2.46,436.20
Malta,2003,2.99,5798,398582,7.51,14546.57
Mauritania,2003,9.74,1675,2965667,3.28,564.80
Mauritius,2003,4.42,5869,1213370,3.65,4836.94
Mexico,2003,642.50,806215,108056312,5.95,7461.06
Moldova,2003,10.96,2588,3612874,3.03,716.33
Mongolia,2003,46.70,2127,2468595,18.92,861.62
Montenegro,2003,3.96,2075,613448,6.46,3382.52
Morocco,2003,47.02,55154,29586937,1.59,1864.13
Mozambique,2003,60.12,5565,19873460,3.02,280.02
Myanmar,2003,161.17,9378,49577152,3.25,189.16
Namibia,2003,16.87,6308,1981237,8.52,3183.87
Nauru,2003,0.09,24,9994,8.90,2401.44
Nepal,2003,60.24,7505,24525527,2.46,306.01
Netherlands,2003,224.08,645556,16225302,13.81,39786.99
New Zealand,2003,59.40,106454,4027200,14.75,26433.75
Nicaragua,2003,42.36,5757,5317878,7.97,1082.57
Niger,2003,20.67,3255,12254040,1.69,265.63
Nigeria,2003,447.15,81138,132550146,3.37,612.13
Niue,2003,0.07,10.11,1755,38.35,5760.68
Norway,2003,26.65,285094,4564855,5.84,62454.12
Oman,2003,66.52,29940,2389121,27.84,12531.81
Pakistan,2003,262.82,94724,152419974,1.72,621.47
Palau,2003,0.11,189,19700,5.49,9593.91
Panama,2003,17.09,13418,3240805,5.27,4140.33
Papua New Guinea,2003,100.06,4457,5803302,17.24,768.01
Paraguay,2003,103.58,8219,5682350,18.23,1446.41
Peru,2003,105.81,67199,27073334,3.91,2482.11
Philippines,2003,134.67,92192,82604681,1.63,1116.06
Poland,2003,317.77,279624,38204570,8.32,7319.12
Portugal,2003,79.67,192314,10458821,7.62,18387.73
Qatar,2003,35.18,34748,660238,53.29,52629.51
Romania,2003,138.77,87143,21574326,6.43,4039.20
Russian Federation,2003,2249.06,670119,144667468,15.55,4632.13
Rwanda,2003,-4.33,2258,9126167,-0.47,247.42
Saint Kitts & Nevis,2003,0.28,475,47679,5.90,9962.46
Saint Lucia,2003,0.97,880,161766,5.97,5439.96
Saint Vincent & Grenadines,2003,0.21,516,108353,1.95,4762.21
Samoa,2003,0.42,425,177677,2.38,2391.98
Sao Tome & Principe,2003,0.13,116,147455,0.87,786.68
Saudi Arabia,2003,317.38,280299,22852333,13.89,12265.66
Senegal,2003,24.93,7786,10673535,2.34,729.47
Serbia,2003,49.76,22810,7480591,6.65,3049.22
Seychelles,2003,0.61,866,82800,7.40,10458.94
Sierra Leone,2003,9.92,1466,4712763,2.10,311.07
Singapore,2003,46.74,108207,4114800,11.36,26297.03
Slovakia,2003,38.64,55900,5373374,7.19,10403.15
Slovenia,2003,5.50,33489,1995733,2.75,16780.30
Solomon Islands,2003,2.08,374,446335,4.65,837.94
South Africa,2003,395.37,234186,46127031,8.57,5076.98
Spain,2003,399.38,1081462,42187645,9.47,25634.57
Sri Lanka,2003,41.80,21786,19173000,2.18,1136.29
Sudan,2003,146.55,23754,29973979,4.89,792.49
Suriname,2003,5.76,1570,486867,11.83,3224.70
Swaziland,2003,2.81,2451,1087929,2.58,2252.90
Sweden,2003,46.99,362708,8958229,5.25,40488.81
Switzerland,2003,50.27,384592,7339001,6.85,52403.86
Syria,2003,76.17,25420,17298476,4.40,1469.49
Tajikistan,2003,6.22,1965,6529609,0.95,300.94
Tanzania,2003,163.38,12215,36760831,4.44,332.28
Thailand,2003,293.23,158532,64488338,4.55,2458.30
Togo,2003,13.50,2047,5258956,2.57,389.24
Tonga,2003,0.31,256,99691,3.09,2567.93
Trinidad & Tobago,2003,26.93,14098,1283868,20.97,10980.88
Tunisia,2003,28.79,29442,9839800,2.93,2992.13
Turkey,2003,272.75,407402,65938265,4.14,6178.54
Turkmenistan,2003,78.53,6828,4648037,16.90,1469.01
Uganda,2003,39.27,7937,26838428,1.46,295.73
Ukraine,2003,415.72,74824,47812950,8.69,1564.93
United Arab Emirates,2003,134.76,157214,3369254,40.00,46661.37
United Kingdom,2003,642.92,2290071,59647577,10.78,38393.36
United States,2003,6381.66,12207433,290107933,22.00,42078.94
Uruguay,2003,20.78,15387,3325411,6.25,4627.10
Uzbekistan,2003,212.87,12416,25567650,8.33,485.61
Vanuatu,2003,0.56,361,198952,2.80,1814.51
Venezuela,2003,335.01,111512,25797219,12.99,4322.64
Vietnam,2003,140.71,49833,80467400,1.75,619.29
World,2003,39449.47,43547858,6334799169,6.23,6874.39
Yemen,2003,24.94,15260,19081306,1.31,799.74
Zambia,2003,113.02,7259,10894519,10.37,666.30
Zimbabwe,2003,62.44,6480,12673103,4.93,511.32
Afghanistan,2004,17.90,5644,24018682,0.75,234.98
Albania,2004,9.15,7940,3026939,3.02,2623.11
Algeria,2004,132.73,97449,33461345,3.97,2912.29
Angola,2004,149.17,23874,15976715,9.34,1494.30
Antigua & Barbuda,2004,0.75,940,81718,9.17,11502.97
Argentina,2004,377.37,204131,38308779,9.85,5328.57
Armenia,2004,7.09,4304,3025652,2.34,1422.50
Australia,2004,635.40,671733,20127400,31.57,33374.06
Austria,2004,70.87,308047,8171966,8.67,37695.58
Azerbaijan,2004,55.59,10479,8306500,6.69,1261.54
"Bahamas, The",2004,1.37,7453,322400,4.25,23117.25
Bahrain,2004,23.74,14957,820505,28.93,18229.02
Bangladesh,2004,152.58,56890,141235035,1.08,402.80
Barbados,2004,3.25,3742,272205,11.95,13746.99
Belarus,2004,71.35,27614,9730000,7.33,2838.03
Belgium,2004,135.74,379753,10421137,13.03,36440.65
Belize,2004,12.75,1086,265040,48.10,4097.49
Benin,2004,18.89,4237,7922796,2.38,534.79
Bhutan,2004,-7.20,764,633893,-11.36,1205.25
Bolivia,2004,127.56,9145,9187610,13.88,995.36
Bosnia & Herzegovina,2004,21.69,10385,3886723,5.58,2671.92
Botswana,2004,18.31,9498,1854739,9.87,5120.94
Brazil,2004,2029.87,855193,184010283,11.03,4647.53
Brunei,2004,18.40,9495,360797,51.00,26316.74
Bulgaria,2004,47.48,27654,7781161,6.10,3553.97
Burkina Faso,2004,30.17,5027,13034258,2.31,385.68
Burundi,2004,6.47,1107,7510771,0.86,147.39
Cambodia,2004,52.61,5557,13149386,4.00,422.61
Cameroon,2004,192.80,16215,17674960,10.91,917.40
Canada,2004,979.19,1128484,31995000,30.60,35270.64
Cape Verde,2004,0.36,909,473577,0.76,1919.43
Central African Republic,2004,57.37,1338,3893595,14.74,343.64
Chad,2004,43.21,5665,9665024,4.47,586.13
Chile,2004,72.11,117852,16168241,4.46,7289.10
China,2004,6288.66,2027582,1296075000,4.85,1564.40
Colombia,2004,184.35,139934,42527623,4.33,3290.43
Comoros,2004,0.63,370,585389,1.08,632.06
"Congo, Dem. Rep.",2004,202.85,11273,52487293,3.86,214.78
"Congo, Rep.",2004,16.11,5649,3448868,4.67,1637.93
Cook Islands,2004,0.10,162,21200,4.76,7641.51
Costa Rica,2004,3.19,18855,4246336,0.75,4440.30
Cote d'Ivoire,2004,15.19,16873,17144325,0.89,984.17
Croatia,2004,16.94,43601,4439000,3.82,9822.26
Cuba,2004,16.43,38349,11273363,1.46,3401.74
Cyprus,2004,8.37,16358,1015820,8.24,16103.25
Czech Republic,2004,130.65,127760,10197101,12.81,12529.05
Denmark,2004,60.10,258265,5404523,11.12,47786.83
Djibouti,2004,1.16,687,765776,1.52,897.13
Dominica,2004,0.20,371,70325,2.86,5275.51
Dominican Republic,2004,26.15,31090,9207389,2.84,3376.64
Ecuador,2004,126.07,39421,13529091,9.32,2913.80
Egypt,2004,210.13,85847,70591288,2.98,1216.11
El Salvador,2004,13.20,16506,6050297,2.18,2728.13
Equatorial Guinea,2004,24.06,7039,585983,41.05,12012.29
Eritrea,2004,7.07,1071,4665522,1.52,229.56
Estonia,2004,27.69,12792,1362550,20.32,9388.28
Ethiopia,2004,113.03,11090,74066147,1.53,149.73
European Union (15),2004,3815.58,13161063,386382563,9.88,34062.26
European Union (28),2004,4663.99,13980270,489891068,9.52,28537.51
Fiji,2004,1.69,2986,818995,2.07,3645.93
Finland,2004,66.65,198902,5228172,12.75,38044.27
France,2004,436.58,2168756,62702121,6.96,34588.24
Gabon,2004,6.20,8412,1347125,4.60,6244.41
"Gambia, The",2004,5.50,630,1391934,3.95,452.61
Georgia,2004,8.03,5850,4318300,1.86,1354.70
Germany,2004,905.71,2837510,82516260,10.98,34387.28
Ghana,2004,50.23,10134,20835514,2.41,486.38
Greece,2004,119.60,245479,11055729,10.82,22203.78
Grenada,2004,2.17,614,102655,21.11,5981.20
Guatemala,2004,36.82,26352,12367800,2.98,2130.69
Guinea,2004,25.25,2852,9379621,2.69,304.06
Guinea-Bissau,2004,2.94,563,1390791,2.12,404.81
Guyana,2004,7.06,841,756939,9.33,1111.05
Haiti,2004,7.47,4081,9129933,0.82,446.99
Honduras,2004,46.42,9120,6762426,6.86,1348.63
Hungary,2004,78.91,107319,10107146,7.81,10618.13
Iceland,2004,3.05,15847,292074,10.44,54256.80
India,2004,1823.31,763340,1110626108,1.64,687.31
Indonesia,2004,1600.83,270472,221293797,7.23,1222.23
Iran,2004,541.52,183530,69342126,7.81,2646.73
Iraq,2004,164.91,47849,26673536,6.18,1793.88
Ireland,2004,68.50,199063,4070262,16.83,48906.68
Israel,2004,76.80,135340,6809000,11.28,19876.63
Italy,2004,532.29,1836032,57685327,9.23,31828.41
Jamaica,2004,13.12,10151,2634145,4.98,3853.62
Japan,2004,1231.20,4513074,127761000,9.64,35324.35
Jordan,2004,22.88,11639,5290000,4.32,2200.19
Kazakhstan,2004,198.85,52073,15012985,13.24,3468.53
Kenya,2004,50.32,17693,34834606,1.44,507.91
Kiribati,2004,0.06,106,88936,0.71,1191.87
"Korea, Dem. Rep. (North)",2004,109.86,11168,23639303,4.65,472.43
"Korea, Rep. (South)",2004,528.77,864225,48039415,11.01,17989.92
Kuwait,2004,167.53,73402,2196466,76.27,33418.23
Kyrgyzstan,2004,7.64,2464,5104700,1.50,482.69
Laos,2004,33.02,2554,5699112,5.79,448.14
Latvia,2004,9.92,14504,2263122,4.38,6408.85
Lebanon,2004,20.04,20727,3853582,5.20,5378.63
Lesotho,2004,1.91,1332,1912022,1.00,696.64
Liberia,2004,16.44,495,3184643,5.16,155.43
Libya,2004,117.58,40036,5507000,21.35,7270.02
Lithuania,2004,24.42,24197,3377075,7.23,7165.08
Luxembourg,2004,12.43,35557,458095,27.14,77619.27
"Macedonia, FYR",2004,13.08,5736,2085728,6.27,2750.12
Madagascar,2004,45.67,4818,17763367,2.57,271.23
